students_email,institute_id_1,institute_id_2,institute_id_3,institute_id_4
auctor@IntegerurnaVivamus.net,2,8,7,9
consectetuer.adipiscing.elit@necmalesuadaut.c,6,7,1,7
consectetuer@Sedet.edu,7,7,6,4
consequat.nec@Quisque.org,4,10,3,8
convallis@orciluctuset.net,2,5,6,7
cursus@vitaerisus.com,5,10,8,2
dapibus.ligula@porttitor.org,4,9,10,7
dignissim.lacus@anteipsumprimis.edu,7,5,3,3
dolor.dapibus.gravida@convallisincursus.co.uk,3,8,6,1
egestas.Aliquam@Donecfringilla.co.uk,3,9,3,3
egestas@nibh.org,5,9,7,10
egestas@vel.edu,10,4,7,10
enim.Mauris.quis@doloregestasrhoncus.net,7,7,6,4
et.arcu@elitNulla.ca,4,3,9,3
eu.turpis@liberolacus.com,10,2,4,6
feugiat.nec.diam@purusDuiselementum.com,8,3,5,2
Fusce.mi@lacusQuisque.edu,7,5,1,4
Fusce@utnisi.com,1,4,4,10
gravida.molestie.arcu@vestibulum.net,10,5,6,9
iaculis.aliquet.diam@rhoncusNullamvelit.co.uk,3,3,8,3
id.blandit@velitjusto.com,6,5,10,2
Integer.urna.Vivamus@mauriseu.edu,5,9,7,5
justo.sit@loremutaliquam.net,5,7,3,10
Mauris.molestie@egetodio.org,9,8,7,2
nec.euismod.in@odioAliquamvulputate.edu,8,10,2,5
neque.Sed.eget@sedconsequatauctor.com,8,4,8,2
nisl@iaculisaliquetdiam.net,1,9,1,9
non.lorem.vitae@urna.org,9,8,7,2
nulla.at@nuncidenim.edu,7,5,9,7
Nullam@CuraeDonectincidunt.edu,7,2,4,1
Nunc.sed.orci@risus.net,7,1,1,1
orci@nondapibus.net,7,4,9,9
pede.Praesent@Incondimentum.net,7,6,5,5
pellentesque.massa@consectetuerrhoncusNullam.,2,5,6,8
placerat.Cras@morbitristiquesenectus.ca,9,7,10,2
purus@semperduilectus.ca,9,3,3,8
quis.pede.Suspendisse@Etiamvestibulum.com,9,1,6,9
sapien.cursus@posuerevulputate.net,8,9,9,9
scelerisque@lectusa.co.uk,5,6,2,1
Sed.auctor.odio@ipsumdolor.ca,3,10,1,3
semper.Nam.tempor@egetmassaSuspendisse.edu,3,8,3,8
semper@tincidunttempusrisus.ca,8,6,3,6
tempus.lorem.fringilla@velitPellentesqueultri,1,7,7,5
tristique.aliquet@suscipitnonummyFusce.edu,10,6,4,8
velit@amet.co.uk,10,3,3,8
velit@Integer.org,4,5,4,2
vestibulum@idliberoDonec.com,2,6,6,2
vitae@ametornare.net,7,10,1,3
vitae@odioAliquamvulputate.net,2,7,7,3
vitae@urna.org,8,1,9,7
