student_email,email,name,phone_number,relation_to_student
auctor@IntegerurnaVivamus.net,facilisis@fringilla.ca,"Nayda Hess",1-462-891-0056,UNCLE
consectetuer.adipiscing.elit@necmalesuadaut.c,elit.sed@lobortis.org,"Jackson Berger",1-388-987-0219,MOTHER
consectetuer@Sedet.edu,et.rutrum@egestas.edu,"Elijah Young",1-197-435-4263,MOTHER
consequat.nec@Quisque.org,quam.Curabitur.vel@malesuada.net,"Hanae Torres",1-722-785-8609,SISTER
convallis@orciluctuset.net,mollis.Phasellus@venenatis.co.uk,"Cathleen Bowman",1-704-269-4954,FATHER
cursus@vitaerisus.com,dis@sociisnatoquepenatibus.org,"April Briggs",1-990-259-7792,BROTHER
dapibus.ligula@porttitor.org,In@sem.co.uk,"Beverly Burton",1-677-320-4790,FATHER
dignissim.lacus@anteipsumprimis.edu,libero.Morbi.accumsan@ametmetus.org,"Bryar Diaz",1-259-481-3625,AUNT
dolor.dapibus.gravida@convallisincursus.co.uk,adipiscing.non.luctus@Phasellus.org,"Emerald Stevenson",1-570-851-9275,FATHER
egestas.Aliquam@Donecfringilla.co.uk,scelerisque.neque.Nullam@fringillaornareplace,"Maxine Ruiz",1-833-232-4841,BROTHER
egestas@nibh.org,consequat.nec.mollis@magnaUttincidunt.org,"Sonia Thomas",1-859-347-3159,AUNT
egestas@vel.edu,ornare.placerat.orci@ultriciesadipiscing.edu,"Mona Randall",1-725-192-4754,FATHER
enim.Mauris.quis@doloregestasrhoncus.net,Donec.nibh.Quisque@estmollis.edu,"Yetta Lawrence",1-746-398-6385,AUNT
et.arcu@elitNulla.ca,in@adipiscingMaurismolestie.net,"Silas Le",1-693-824-4627,UNCLE
eu.turpis@liberolacus.com,molestie.tortor@ligulaNullam.org,"Kalia Patel",1-178-683-2704,MOTHER
feugiat.nec.diam@purusDuiselementum.com,natoque.penatibus.et@euismodacfermentum.ca,"Mechelle Acevedo",1-232-643-7897,MOTHER
Fusce.mi@lacusQuisque.edu,malesuada@semNulla.com,"Nadine Fulton",1-118-213-9312,BROTHER
Fusce@utnisi.com,rutrum.urna@Pellentesqueutipsum.co.uk,"Devin Kim",1-945-944-2041,BROTHER
gravida.molestie.arcu@vestibulum.net,nonummy.ut@nisidictum.com,"Montana Tucker",1-656-660-2080,BROTHER
iaculis.aliquet.diam@rhoncusNullamvelit.co.uk,mi.lorem@estNunclaoreet.com,"Chadwick Cameron",1-631-418-8243,FATHER
id.blandit@velitjusto.com,dictum.eu.placerat@eleifend.ca,"Ima Barrett",1-150-991-0291,SISTER
Integer.urna.Vivamus@mauriseu.edu,semper.tellus@malesuadavel.net,"Grant Hunter",1-745-594-6556,FATHER
justo.sit@loremutaliquam.net,ornare.placerat.orci@vulputateposuerevulputat,"Octavius Mcguire",1-147-767-4456,BROTHER
Mauris.molestie@egetodio.org,magna@utnullaCras.com,"Desirae Ballard",1-134-944-4468,BROTHER
nec.euismod.in@odioAliquamvulputate.edu,arcu.Morbi.sit@consectetuer.edu,"Chelsea Gallagher",1-552-835-8312,MOTHER
neque.Sed.eget@sedconsequatauctor.com,tellus.Phasellus.elit@aliquetmagna.net,"Zia Oneil",1-433-582-0552,FATHER
nisl@iaculisaliquetdiam.net,laoreet@necquamCurabitur.org,"Nevada Mann",1-678-804-3329,UNCLE
non.lorem.vitae@urna.org,nisl.elementum.purus@eliteratvitae.ca,"Shelly Schwartz",1-215-471-9793,AUNT
nulla.at@nuncidenim.edu,urna@velit.co.uk,"Jessamine Estrada",1-622-944-0293,BROTHER
Nullam@CuraeDonectincidunt.edu,Quisque.varius.Nam@at.net,"Hilary Sykes",1-161-347-4381,MOTHER
Nunc.sed.orci@risus.net,cursus.luctus@Utsagittis.com,"Eliana Higgins",1-622-733-8572,FATHER
orci@nondapibus.net,ut.quam.vel@metussit.edu,"Quyn Allison",1-621-327-1419,AUNT
pede.Praesent@Incondimentum.net,eu.accumsan@Integertinciduntaliquam.org,"Orla Lott",1-528-327-7491,MOTHER
pellentesque.massa@consectetuerrhoncusNullam.,nunc.nulla.vulputate@Proin.org,"Shad Cross",1-131-775-1205,AUNT
placerat.Cras@morbitristiquesenectus.ca,Nullam.lobortis@consequatenimdiam.edu,"Norman Cote",1-248-398-6832,BROTHER
purus@semperduilectus.ca,vulputate.velit.eu@miDuisrisus.com,"Marcia Kent",1-881-423-5445,MOTHER
quis.pede.Suspendisse@Etiamvestibulum.com,rutrum.non@risus.co.uk,"Merritt Mays",1-502-450-9288,MOTHER
sapien.cursus@posuerevulputate.net,a.arcu.Sed@dictum.co.uk,"Martha Greer",1-680-788-7644,AUNT
scelerisque@lectusa.co.uk,libero.nec@Nuncpulvinar.org,"Ginger Waller",1-723-553-3911,FATHER
Sed.auctor.odio@ipsumdolor.ca,fermentum@ornarelectusante.org,"Basil Mitchell",1-975-305-2922,BROTHER
semper.Nam.tempor@egetmassaSuspendisse.edu,Mauris.blandit@arcuVestibulumante.edu,"Raphael Hawkins",1-463-550-9735,UNCLE
semper@tincidunttempusrisus.ca,amet@egetipsum.net,"Isaac Walsh",1-476-517-5208,FATHER
tempus.lorem.fringilla@velitPellentesqueultri,purus@sitametrisus.co.uk,"Matthew Santos",1-599-577-6164,UNCLE
tristique.aliquet@suscipitnonummyFusce.edu,lorem.vitae.odio@ornareelitelit.net,"Drake Silva",1-452-318-7717,MOTHER
velit@amet.co.uk,Donec@parturientmontes.org,"Connor Singleton",1-150-629-8648,FATHER
velit@Integer.org,cursus.in.hendrerit@dictumeu.org,"Cameron Weber",1-328-233-4633,FATHER
vestibulum@idliberoDonec.com,Cras.eget.nisi@semmolestie.org,"September Burke",1-848-777-2433,MOTHER
vitae@ametornare.net,habitant.morbi.tristique@elitpedemalesuada.co,"Amity Vega",1-205-897-0800,SISTER
vitae@odioAliquamvulputate.net,laoreet.lectus.quis@velitegetlaoreet.edu,"Ali Mejia",1-808-755-0632,BROTHER
vitae@urna.org,erat@gravidamolestie.org,"Alexa Dillard",1-379-417-5466,UNCLE
