student_email,years_in_hs,years_at_university,higest_level_of_language
auctor@IntegerurnaVivamus.net,1,2,"HIGH SCHOOL"
consectetuer.adipiscing.elit@necmalesuadaut.c,2,10,"HIGH SCHOOL"
consectetuer@Sedet.edu,3,1,"HIGH SCHOOL"
consequat.nec@Quisque.org,2,6,"HIGH SCHOOL"
convallis@orciluctuset.net,4,1,"HIGH SCHOOL"
cursus@vitaerisus.com,1,7,"HIGH SCHOOL"
dapibus.ligula@porttitor.org,4,4,COLLEGE
dignissim.lacus@anteipsumprimis.edu,3,7,COLLEGE
dolor.dapibus.gravida@convallisincursus.co.uk,4,10,"HIGH SCHOOL"
egestas.Aliquam@Donecfringilla.co.uk,2,9,COLLEGE
egestas@nibh.org,4,4,"HIGH SCHOOL"
egestas@vel.edu,2,3,"HIGH SCHOOL"
enim.Mauris.quis@doloregestasrhoncus.net,2,2,COLLEGE
et.arcu@elitNulla.ca,1,8,COLLEGE
eu.turpis@liberolacus.com,3,6,"HIGH SCHOOL"
feugiat.nec.diam@purusDuiselementum.com,2,7,COLLEGE
Fusce.mi@lacusQuisque.edu,4,8,"HIGH SCHOOL"
Fusce@utnisi.com,2,7,COLLEGE
gravida.molestie.arcu@vestibulum.net,4,8,"HIGH SCHOOL"
iaculis.aliquet.diam@rhoncusNullamvelit.co.uk,1,8,"HIGH SCHOOL"
id.blandit@velitjusto.com,2,7,COLLEGE
Integer.urna.Vivamus@mauriseu.edu,1,7,"HIGH SCHOOL"
justo.sit@loremutaliquam.net,4,7,COLLEGE
Mauris.molestie@egetodio.org,2,7,"HIGH SCHOOL"
nec.euismod.in@odioAliquamvulputate.edu,1,3,"HIGH SCHOOL"
neque.Sed.eget@sedconsequatauctor.com,1,9,COLLEGE
nisl@iaculisaliquetdiam.net,2,10,COLLEGE
non.lorem.vitae@urna.org,1,10,"HIGH SCHOOL"
nulla.at@nuncidenim.edu,1,8,"HIGH SCHOOL"
Nullam@CuraeDonectincidunt.edu,4,4,COLLEGE
Nunc.sed.orci@risus.net,4,9,COLLEGE
orci@nondapibus.net,4,9,"HIGH SCHOOL"
pede.Praesent@Incondimentum.net,3,2,COLLEGE
pellentesque.massa@consectetuerrhoncusNullam.,1,2,"HIGH SCHOOL"
placerat.Cras@morbitristiquesenectus.ca,4,5,COLLEGE
purus@semperduilectus.ca,2,7,COLLEGE
quis.pede.Suspendisse@Etiamvestibulum.com,4,10,"HIGH SCHOOL"
sapien.cursus@posuerevulputate.net,4,4,"HIGH SCHOOL"
scelerisque@lectusa.co.uk,4,5,COLLEGE
Sed.auctor.odio@ipsumdolor.ca,3,5,"HIGH SCHOOL"
semper.Nam.tempor@egetmassaSuspendisse.edu,2,4,COLLEGE
semper@tincidunttempusrisus.ca,2,1,"HIGH SCHOOL"
tempus.lorem.fringilla@velitPellentesqueultri,1,2,COLLEGE
tristique.aliquet@suscipitnonummyFusce.edu,3,5,COLLEGE
velit@amet.co.uk,4,3,COLLEGE
velit@Integer.org,2,2,COLLEGE
vestibulum@idliberoDonec.com,4,1,"HIGH SCHOOL"
vitae@ametornare.net,2,5,"HIGH SCHOOL"
vitae@odioAliquamvulputate.net,1,8,COLLEGE
vitae@urna.org,3,4,"HIGH SCHOOL"
