student_email,street_address,city,zip_code,country
auctor@IntegerurnaVivamus.net,"6167 Enim St.",Cleveland,86239,"United States"
consectetuer.adipiscing.elit@necmalesuadaut.c,"4021 Sapien, Avenue",Madison,92466,"United States"
consectetuer@Sedet.edu,"5095 Ullamcorper. Rd.",Springfield,56837,"United States"
consequat.nec@Quisque.org,"Ap #309-8724 Congue St.",Gelsenkirchen,94845,Germany
convallis@orciluctuset.net,"P.O. Box 339, 1517 Nullam Street",Essex,85804,"United States"
cursus@vitaerisus.com,"893-5608 Facilisis, St.",Pocatello,31241,"United States"
dapibus.ligula@porttitor.org,"9497 Lorem Ave",Evansville,74600,"United States"
dignissim.lacus@anteipsumprimis.edu,"5212 Sapien. Street",Chandler,97965,"United States"
dolor.dapibus.gravida@convallisincursus.co.uk,"3505 Taciti St.",Andernach,7044,Germany
egestas.Aliquam@Donecfringilla.co.uk,"968-5599 Eget St.",Toledo,68100,"United States"
egestas@nibh.org,"Ap #950-7670 Mollis Street",Shreveport,52964,"United States"
egestas@vel.edu,"Ap #445-4111 Rutrum Rd.",Tallahassee,50489,"United States"
enim.Mauris.quis@doloregestasrhoncus.net,"2643 Sit Rd.",Freital,23193,Germany
et.arcu@elitNulla.ca,"9658 Sed Ave",Dortmund,96651,Germany
eu.turpis@liberolacus.com,"Ap #223-6271 Donec Street",Regensburg,10203,Germany
feugiat.nec.diam@purusDuiselementum.com,"P.O. Box 796, 6786 Est. Rd.",Henstedt-Ulzburg,85725,Germany
Fusce.mi@lacusQuisque.edu,"P.O. Box 197, 7752 Pellentesque Rd.",Evansville,95845,"United States"
Fusce@utnisi.com,"Ap #981-1889 Ac Avenue",Dallas,46377,"United States"
gravida.molestie.arcu@vestibulum.net,"P.O. Box 553, 2891 Nam Street",Rutland,58749,"United States"
iaculis.aliquet.diam@rhoncusNullamvelit.co.uk,"Ap #445-5263 Ornare, Ave",Frankfort,33085,"United States"
id.blandit@velitjusto.com,"822-3986 Scelerisque Street",Bremerhaven,6320,Germany
Integer.urna.Vivamus@mauriseu.edu,"Ap #791-875 Aliquam Rd.",Heusweiler,99787,Germany
justo.sit@loremutaliquam.net,"558-2495 Sem, Rd.",Görlitz,60396,Germany
Mauris.molestie@egetodio.org,"436-1845 Ipsum Rd.",Zeitz,9061,Germany
nec.euismod.in@odioAliquamvulputate.edu,"P.O. Box 928, 7809 Pede Rd.",Toledo,35000,"United States"
neque.Sed.eget@sedconsequatauctor.com,"Ap #492-6680 Est. Avenue",Bernau,65886,Germany
nisl@iaculisaliquetdiam.net,"P.O. Box 562, 7927 A, Street",Bochum,44001,Germany
non.lorem.vitae@urna.org,"Ap #805-1988 Pellentesque Rd.",Offenburg,43827,Germany
nulla.at@nuncidenim.edu,"P.O. Box 602, 4921 Nec Street",Bielefeld,87973,Germany
Nullam@CuraeDonectincidunt.edu,"Ap #944-7885 In Rd.",Lafayette,37314,"United States"
Nunc.sed.orci@risus.net,"Ap #165-6767 Eget, Avenue",Ravensburg,12695,Germany
orci@nondapibus.net,"P.O. Box 798, 3012 Tempor Road",Heide,24534,Germany
pede.Praesent@Incondimentum.net,"P.O. Box 789, 4654 Arcu Road",Berlin,8248,Germany
pellentesque.massa@consectetuerrhoncusNullam.,"424-9999 Eu Rd.",Lawton,23522,"United States"
placerat.Cras@morbitristiquesenectus.ca,"3609 Aliquam Ave",Hof,20083,Germany
purus@semperduilectus.ca,"543-2579 Nibh Ave",Hamburg,71285,Germany
quis.pede.Suspendisse@Etiamvestibulum.com,"822-9360 Erat Street",Bremerhaven,7113,Germany
sapien.cursus@posuerevulputate.net,"P.O. Box 395, 1773 Eros Street",Lawton,73431,"United States"
scelerisque@lectusa.co.uk,"P.O. Box 837, 4180 Tellus. Street",Freiberg,59672,Germany
Sed.auctor.odio@ipsumdolor.ca,"P.O. Box 137, 644 Justo Rd.",Spremberg,7824,Germany
semper.Nam.tempor@egetmassaSuspendisse.edu,"P.O. Box 759, 3438 Integer Av.",Jacksonville,43475,"United States"
semper@tincidunttempusrisus.ca,"5040 Mollis Street",Freising,75955,Germany
tempus.lorem.fringilla@velitPellentesqueultri,"P.O. Box 381, 3430 Eu Road",Speyer,95395,Germany
tristique.aliquet@suscipitnonummyFusce.edu,"Ap #868-2281 Curabitur St.",Staßfurt,65359,Germany
velit@amet.co.uk,"Ap #752-6631 Nec Ave",Provo,13710,"United States"
velit@Integer.org,"P.O. Box 611, 3488 Nec Ave",Aschersleben,36516,Germany
vestibulum@idliberoDonec.com,"604-1297 Neque Avenue",Aalen,14599,Germany
vitae@ametornare.net,"400-5594 Accumsan St.",Henderson,50083,"United States"
vitae@odioAliquamvulputate.net,"P.O. Box 833, 2348 Cras Avenue",Grimma,57630,Germany
vitae@urna.org,"373-3852 Venenatis St.",Bremen,89820,Germany
