student_email,street_address,city,zip_code,country,valid_until
auctor@IntegerurnaVivamus.net,"489-6390 Semper Ave","San Diego",68242,"United States",
consectetuer.adipiscing.elit@necmalesuadaut.c,"Ap #383-8365 Proin Rd.",Bloomington,87277,"United States",
consectetuer@Sedet.edu,"7376 Ipsum. Rd.",Georgia,44582,"United States",
consequat.nec@Quisque.org,"9226 Et, St.",Merzig,50468,Germany,
convallis@orciluctuset.net,"P.O. Box 664, 1513 Pellentesque St.",Chicago,64261,"United States",
cursus@vitaerisus.com,"4677 Ipsum Street","West Jordan",40967,"United States",
dapibus.ligula@porttitor.org,"Ap #892-7021 Eu Road",Houston,53378,"United States",
dignissim.lacus@anteipsumprimis.edu,"Ap #158-5557 Elit Rd.",Springfield,41288,"United States",
dolor.dapibus.gravida@convallisincursus.co.uk,"7642 Aliquam Avenue",Zwickau,44674,Germany,
egestas.Aliquam@Donecfringilla.co.uk,"P.O. Box 451, 1269 Egestas St.",Aurora,63045,"United States",
egestas@nibh.org,"P.O. Box 874, 2387 Mi Rd.",Gaithersburg,30156,"United States",
egestas@vel.edu,"2192 Id Ave",Fayetteville,36701,"United States",
enim.Mauris.quis@doloregestasrhoncus.net,"313-2765 Donec Rd.",Merzig,99281,Germany,
et.arcu@elitNulla.ca,"P.O. Box 156, 4397 Lacus St.",Berlin,1371,Germany,
eu.turpis@liberolacus.com,"413 Fringilla St.",Bielefeld,20694,Germany,
feugiat.nec.diam@purusDuiselementum.com,"P.O. Box 185, 8752 Posuere Avenue",Stendal,10433,Germany,
Fusce.mi@lacusQuisque.edu,"Ap #549-5555 In Ave",Olathe,35228,"United States",
Fusce@utnisi.com,"P.O. Box 310, 8236 Et Road",Missoula,66042,"United States",
gravida.molestie.arcu@vestibulum.net,"Ap #155-9092 Ut Street",Columbus,54782,"United States",
iaculis.aliquet.diam@rhoncusNullamvelit.co.uk,"7897 Euismod Road",Portland,90074,"United States",
id.blandit@velitjusto.com,"288-9274 Iaculis Avenue",Friedberg,66791,Germany,
Integer.urna.Vivamus@mauriseu.edu,"8151 Urna. Rd.",Hamburg,12355,Germany,
justo.sit@loremutaliquam.net,"4170 Vitae, Avenue","Hohen Neuendorf",72696,Germany,
Mauris.molestie@egetodio.org,"9498 Tincidunt Street",Friedberg,31225,Germany,
nec.euismod.in@odioAliquamvulputate.edu,"Ap #580-2314 Malesuada St.",Harrisburg,58957,"United States",
neque.Sed.eget@sedconsequatauctor.com,"842-6417 Justo. Ave",Friedrichshafen,31169,Germany,
nisl@iaculisaliquetdiam.net,"Ap #332-3828 Sapien. Ave",Wittenberg,60139,Germany,
non.lorem.vitae@urna.org,"3907 Nibh Rd.",Gifhorn,22604,Germany,
nulla.at@nuncidenim.edu,"362-150 Amet Street",Waiblingen,6024,Germany,
Nullam@CuraeDonectincidunt.edu,"6648 Sodales Av.",Columbia,86036,"United States",
Nunc.sed.orci@risus.net,"855-4228 Egestas Rd.",Freital,7344,Germany,
orci@nondapibus.net,"Ap #321-257 Egestas Street",Forst,12446,Germany,
pede.Praesent@Incondimentum.net,"Ap #482-8985 Ut St.",Hamburg,99599,Germany,
pellentesque.massa@consectetuerrhoncusNullam.,"P.O. Box 142, 495 A, Av.",Reading,74068,"United States",
placerat.Cras@morbitristiquesenectus.ca,"212-2979 Risus. Rd.",Recklinghausen,9969,Germany,
purus@semperduilectus.ca,"361 Dolor Road",Panketal,4754,Germany,
quis.pede.Suspendisse@Etiamvestibulum.com,"7375 Tellus, Avenue",Lehrte,28013,Germany,
sapien.cursus@posuerevulputate.net,"Ap #353-6737 Cras Avenue",Cleveland,83669,"United States",
scelerisque@lectusa.co.uk,"564-5570 Non, St.",Herne,89239,Germany,
Sed.auctor.odio@ipsumdolor.ca,"648-4794 In, Rd.",Hagen,28843,Germany,
semper.Nam.tempor@egetmassaSuspendisse.edu,"568-9066 Sed St.",Bloomington,92582,"United States",
semper@tincidunttempusrisus.ca,"1723 Diam Rd.",Berlin,59558,Germany,
tempus.lorem.fringilla@velitPellentesqueultri,"P.O. Box 742, 8455 Facilisis Rd.",Wismar,1810,Germany,
tristique.aliquet@suscipitnonummyFusce.edu,"287-2955 Congue Road",Hannover,61922,Germany,
velit@amet.co.uk,"4224 Eu, Av.",Bridgeport,11969,"United States",
velit@Integer.org,"840-2048 Nunc St.",Berlin,25080,Germany,
vestibulum@idliberoDonec.com,"1896 Libero St.",Bremen,50081,Germany,
vitae@ametornare.net,"818-2670 Aliquam Ave",Huntsville,62117,"United States",
vitae@odioAliquamvulputate.net,"888-2877 Nunc Road",Leipzig,85297,Germany,
vitae@urna.org,"Ap #558-1991 Turpis. Avenue",Dresden,95314,Germany,
