student_email,visited_before,purpose_for_visit
auctor@IntegerurnaVivamus.net,FALSE,
consectetuer.adipiscing.elit@necmalesuadaut.c,TRUE,VACATION
consectetuer@Sedet.edu,FALSE,
consequat.nec@Quisque.org,FALSE,
convallis@orciluctuset.net,TRUE,WAR
cursus@vitaerisus.com,TRUE,SCHOOL
dapibus.ligula@porttitor.org,FALSE,
dignissim.lacus@anteipsumprimis.edu,TRUE,WAR
dolor.dapibus.gravida@convallisincursus.co.uk,FALSE,
egestas.Aliquam@Donecfringilla.co.uk,TRUE,WAR
egestas@nibh.org,FALSE,
egestas@vel.edu,TRUE,WAR
enim.Mauris.quis@doloregestasrhoncus.net,FALSE,
et.arcu@elitNulla.ca,TRUE,VACATION
eu.turpis@liberolacus.com,FALSE,
feugiat.nec.diam@purusDuiselementum.com,TRUE,VACATION
Fusce.mi@lacusQuisque.edu,TRUE,VACATION
Fusce@utnisi.com,FALSE,
gravida.molestie.arcu@vestibulum.net,TRUE,FAMILY
iaculis.aliquet.diam@rhoncusNullamvelit.co.uk,FALSE,
id.blandit@velitjusto.com,TRUE,FAMILY
Integer.urna.Vivamus@mauriseu.edu,FALSE,
justo.sit@loremutaliquam.net,FALSE,
Mauris.molestie@egetodio.org,TRUE,VACATION
nec.euismod.in@odioAliquamvulputate.edu,FALSE,
neque.Sed.eget@sedconsequatauctor.com,FALSE,
nisl@iaculisaliquetdiam.net,TRUE,VACATION
non.lorem.vitae@urna.org,FALSE,
nulla.at@nuncidenim.edu,TRUE,FAMILY
Nullam@CuraeDonectincidunt.edu,TRUE,SCHOOL
Nunc.sed.orci@risus.net,TRUE,SCHOOL
orci@nondapibus.net,TRUE,FAMILY
pede.Praesent@Incondimentum.net,FALSE,
pellentesque.massa@consectetuerrhoncusNullam.,FALSE,
placerat.Cras@morbitristiquesenectus.ca,FALSE,
purus@semperduilectus.ca,TRUE,FAMILY
quis.pede.Suspendisse@Etiamvestibulum.com,TRUE,FAMILY
sapien.cursus@posuerevulputate.net,TRUE,VACATION
scelerisque@lectusa.co.uk,TRUE,WAR
Sed.auctor.odio@ipsumdolor.ca,TRUE,WAR
semper.Nam.tempor@egetmassaSuspendisse.edu,FALSE,
semper@tincidunttempusrisus.ca,FALSE,
tempus.lorem.fringilla@velitPellentesqueultri,TRUE,WAR
tristique.aliquet@suscipitnonummyFusce.edu,TRUE,WAR
velit@amet.co.uk,FALSE,
velit@Integer.org,FALSE,
vestibulum@idliberoDonec.com,FALSE,
vitae@ametornare.net,FALSE,
vitae@odioAliquamvulputate.net,FALSE,
vitae@urna.org,FALSE,
