email,application_number,first_name,middle_name,last_name,gender,date_of_birth,major_id,minor_id,citizenship,sending_institute_id,receiving_institute_id,term_id,year,birth_city,birth_country,undergrad_or_grad,year_in_school,semesters_completed,major_coursework,minor_coursework,level_cousework,undergrad_FTE,UG_FTE_withdrawl,G_FTE_withdrawl,notes
auctor@IntegerurnaVivamus.net,34,Janna,Ocean,Hart,FEMALE,24/09/2017,1,1,"United States",6,5,3,2014,Lewiston,"United States",G,Senior,9,2,2,UG,-0.2008743338,0.04228463289,0.5145828291,...
consectetuer.adipiscing.elit@necmalesuadaut.c,26,Maia,Fiona,Blanchard,MALE,12/11/1966,2,2,"United States",7,3,1,2018,Cincinnati,"United States",UG,Freshman,5,2,1,UG,0.06156178037,-0.2556691638,-0.0526820681,...
consectetuer@Sedet.edu,17,Price,Brett,Warren,MALE,21/05/1929,2,2,"United States",8,1,2,2012,Henderson,"United States",UG,Junior,6,1,2,UG,0.1744068141,-0.1778237475,-0.03579607523,...
consequat.nec@Quisque.org,6,Minerva,,Jefferson,FEMALE,27/09/1982,1,1,Germany,1,10,2,2017,Emden,Germany,UG,"5th year",4,1,1,UG,-0.3039197625,-0.2243740569,0.03824962069,...
convallis@orciluctuset.net,45,Kamal,Sade,Barrera,MALE,16/02/1998,1,1,"United States",9,2,2,2013,Frederick,"United States",G,Freshman,9,2,2,UG,0.5133748994,-0.3548836498,0.08579614488,...
cursus@vitaerisus.com,43,Astra,Rachel,Long,FEMALE,08/10/1935,2,2,"United States",9,4,1,2015,Cambridge,"United States",G,Junior,6,1,1,UG,-0.4768679363,-0.4284080147,0.04017366953,...
dapibus.ligula@porttitor.org,25,Maisie,Brennan,Lewis,FEMALE,28/01/1985,2,2,"United States",8,3,3,2013,Memphis,"United States",G,Senior,9,2,1,G,0.02754629744,-0.3163359301,0.09717778901,...
dignissim.lacus@anteipsumprimis.edu,28,Christen,Lucian,Randolph,FEMALE,15/07/2009,1,1,"United States",10,5,1,2012,Springdale,"United States",UG,Freshman,4,1,2,UG,-0.1332475235,0.1774654034,0.2592738054,...
dolor.dapibus.gravida@convallisincursus.co.uk,41,Heidi,,Blankenship,MALE,09/02/1950,2,1,Germany,5,6,1,2014,Hamburg,Germany,UG,Junior,4,2,2,G,-0.3882549113,0.07279459217,-0.08169441835,...
egestas.Aliquam@Donecfringilla.co.uk,7,Noelani,Alea,Flores,MALE,25/05/1951,1,2,"United States",9,1,2,2012,Pocatello,"United States",UG,Junior,3,1,2,UG,-0.1061079747,0.4472262454,0.3518912159,...
egestas@nibh.org,19,Kellie,Driscoll,Bauer,MALE,14/09/1968,2,1,"United States",8,4,3,2012,Lexington,"United States",UG,Sophomore,4,1,2,G,0.332535705,0.1767750225,0.1044936833,...
egestas@vel.edu,12,Frances,Amal,Bowers,FEMALE,06/10/2002,2,2,"United States",7,2,1,2018,Evansville,"United States",G,"5th year",4,1,1,G,-0.06415897046,-0.1262910686,-0.2743211096,...
enim.Mauris.quis@doloregestasrhoncus.net,40,Christine,,Guthrie,FEMALE,23/05/2017,2,1,Germany,4,6,3,2017,Herne,Germany,UG,Junior,5,2,1,G,0.02500618859,0.1445420133,0.2960066341,...
et.arcu@elitNulla.ca,13,Kylan,,Oliver,MALE,29/09/1949,1,1,Germany,4,10,2,2017,Bonn,Germany,UG,Senior,10,1,2,UG,-0.2947774914,-0.5957268696,-0.04045382385,...
eu.turpis@liberolacus.com,47,Emerald,,Sears,MALE,31/08/1929,1,2,Germany,4,9,1,2016,Frankfurt,Germany,G,Freshman,6,2,2,UG,0.3218042879,0.178548703,-0.2033062741,...
feugiat.nec.diam@purusDuiselementum.com,20,Pascale,,Crawford,MALE,11/10/2017,1,2,Germany,2,8,1,2013,Freital,Germany,UG,Junior,10,1,1,G,0.2922969889,-0.3042076546,0.05234974744,...
Fusce.mi@lacusQuisque.edu,35,Sarah,Natalie,Hamilton,MALE,19/01/1934,1,2,"United States",6,4,1,2017,Jackson,"United States",UG,"5th year",7,2,2,G,0.003444766648,0.005604745233,0.5385999164,...
Fusce@utnisi.com,23,May,Cally,Marshall,MALE,04/05/1982,1,1,"United States",7,3,2,2015,Hillsboro,"United States",UG,"5th year",6,1,1,G,0.1622430823,0.4106848627,-0.189280405,...
gravida.molestie.arcu@vestibulum.net,42,MacKensie,Buffy,Velazquez,FEMALE,30/08/1982,2,1,"United States",8,5,1,2016,"South Portland","United States",G,Sophomore,4,1,2,G,-0.3450675962,-0.009001621727,-0.3162045912,...
iaculis.aliquet.diam@rhoncusNullamvelit.co.uk,5,Ignacia,Morgan,Pate,FEMALE,11/04/1950,2,1,"United States",6,4,2,2013,Tucson,"United States",UG,Freshman,6,1,2,G,-0.1120117152,-0.2744078748,-0.2591853019,...
id.blandit@velitjusto.com,48,Trevor,,Roy,MALE,24/10/1948,2,2,Germany,3,10,2,2015,Gifhorn,Germany,UG,"5th year",5,1,1,UG,0.1732690259,-0.1089779124,0.4284966216,...
Integer.urna.Vivamus@mauriseu.edu,9,Hedwig,,Gibson,FEMALE,28/09/1979,1,2,Germany,5,8,2,2015,Griesheim,Germany,UG,Senior,6,1,2,G,-0.09157366505,0.3093016687,-0.06418546753,...
justo.sit@loremutaliquam.net,10,Blake,,William,MALE,23/05/1928,2,2,Germany,1,7,3,2014,Langenhagen,Germany,G,Sophomore,9,1,2,G,-0.2675932877,0.1901399698,0.1787912599,...
Mauris.molestie@egetodio.org,30,Demetria,,Richmond,MALE,12/08/2005,2,1,Germany,2,10,2,2014,Wilhelmshaven,Germany,UG,Junior,3,1,1,G,-0.05455985815,-0.2043019294,0.1090399028,...
nec.euismod.in@odioAliquamvulputate.edu,1,Tanisha,Montana,Walls,FEMALE,27/08/1957,2,2,"United States",9,4,2,2013,Shreveport,"United States",UG,Senior,3,2,1,G,-0.2573590263,0.009526530063,-0.1629691611,...
neque.Sed.eget@sedconsequatauctor.com,49,Keegan,,Lindsay,FEMALE,07/10/1972,1,1,Germany,3,10,3,2016,Bremerhaven,Germany,UG,Junior,3,2,1,G,0.2635507537,-0.05341322214,-0.05575773382,...
nisl@iaculisaliquetdiam.net,16,Addison,,Barlow,MALE,13/06/1936,1,1,Germany,3,8,2,2017,Neustrelitz,Germany,UG,Junior,5,2,1,UG,-0.4604406912,0.2315792835,0.09701771826,...
non.lorem.vitae@urna.org,50,Emily,,Ashley,FEMALE,19/03/1989,2,2,Germany,5,6,3,2018,Staßfurt,Germany,G,"5th year",7,1,2,G,-0.03425688258,-0.3678029772,0.06214030691,...
nulla.at@nuncidenim.edu,39,Quon,,Obrien,FEMALE,10/07/1953,1,1,Germany,5,7,1,2014,Aschaffenburg,Germany,UG,Junior,5,2,2,G,0.5099196501,0.4194475227,-0.2301771504,...
Nullam@CuraeDonectincidunt.edu,11,Tamara,Ian,Goff,MALE,15/05/1982,2,1,"United States",10,2,2,2016,Lakewood,"United States",UG,Freshman,9,2,1,UG,-0.1383649368,-0.1153593291,-0.4663759798,...
Nunc.sed.orci@risus.net,37,Hamilton,,Stone,MALE,29/09/1983,1,1,Germany,1,9,2,2015,"Offenbach am Main",Germany,UG,Freshman,3,1,1,G,-0.1796291538,0.0218055483,0.6366408298,...
orci@nondapibus.net,15,Maxwell,,Buchanan,FEMALE,26/06/1934,2,2,Germany,4,8,3,2016,Koblenz,Germany,G,Senior,2,2,1,UG,-0.2873208901,0.1451217905,-0.02294166228,...
pede.Praesent@Incondimentum.net,36,Stephanie,,Ruiz,FEMALE,20/03/1985,1,1,Germany,1,6,2,2016,"Sankt Ingbert",Germany,UG,Freshman,2,2,1,G,0.372718667,0.1303875219,-0.1620111614,...
pellentesque.massa@consectetuerrhoncusNullam.,21,Mufutau,Donovan,Gaines,MALE,17/11/1999,2,2,"United States",7,1,1,2012,Bangor,"United States",UG,Senior,2,2,1,G,-0.02466586789,0.3551223265,0.2071465035,...
placerat.Cras@morbitristiquesenectus.ca,27,Cara,,Lawrence,MALE,23/09/2003,1,2,Germany,4,8,3,2013,Rathenow,Germany,UG,Junior,5,2,2,UG,0.2467474662,0.3841879704,0.2580743638,...
