student_email,course_id_1,course_id_2,course_id_3,course_id_4,course_id_5,course_id_6,course_id_7,course_id_8
auctor@IntegerurnaVivamus.net,20,4,8,20,16,4,6,10
consectetuer.adipiscing.elit@necmalesuadaut.c,10,13,7,14,8,14,14,20
consectetuer@Sedet.edu,9,7,4,19,13,2,5,5
consequat.nec@Quisque.org,8,13,4,7,12,13,2,8
convallis@orciluctuset.net,7,9,4,8,11,13,17,3
cursus@vitaerisus.com,11,18,7,5,7,11,5,14
dapibus.ligula@porttitor.org,6,13,16,8,8,3,7,9
dignissim.lacus@anteipsumprimis.edu,15,9,15,3,10,20,16,6
dolor.dapibus.gravida@convallisincursus.co.uk,17,6,9,11,19,19,15,5
egestas.Aliquam@Donecfringilla.co.uk,9,17,10,5,20,17,14,17
egestas@nibh.org,16,12,19,18,14,2,2,15
egestas@vel.edu,20,5,12,17,1,2,19,20
enim.Mauris.quis@doloregestasrhoncus.net,10,19,9,6,12,14,12,20
et.arcu@elitNulla.ca,19,15,17,11,5,5,14,11
eu.turpis@liberolacus.com,17,12,13,6,18,6,13,5
feugiat.nec.diam@purusDuiselementum.com,6,9,1,7,5,2,1,18
Fusce.mi@lacusQuisque.edu,10,10,13,12,4,13,13,6
Fusce@utnisi.com,9,9,16,13,11,12,12,20
gravida.molestie.arcu@vestibulum.net,3,8,7,15,12,13,11,11
iaculis.aliquet.diam@rhoncusNullamvelit.co.uk,7,11,20,17,4,7,12,5
id.blandit@velitjusto.com,16,9,8,19,5,12,19,3
Integer.urna.Vivamus@mauriseu.edu,9,7,12,3,8,15,6,1
justo.sit@loremutaliquam.net,13,2,6,18,17,4,4,8
Mauris.molestie@egetodio.org,7,16,4,14,6,20,2,5
nec.euismod.in@odioAliquamvulputate.edu,15,17,19,19,1,11,1,14
neque.Sed.eget@sedconsequatauctor.com,13,7,20,6,8,1,8,15
nisl@iaculisaliquetdiam.net,16,15,2,20,13,3,3,20
non.lorem.vitae@urna.org,12,9,10,18,14,13,15,18
nulla.at@nuncidenim.edu,4,19,2,9,3,8,1,14
Nullam@CuraeDonectincidunt.edu,16,10,3,10,15,15,13,7
Nunc.sed.orci@risus.net,4,6,15,2,4,8,4,10
orci@nondapibus.net,11,19,17,14,10,8,18,3
pede.Praesent@Incondimentum.net,1,14,15,9,4,8,3,10
pellentesque.massa@consectetuerrhoncusNullam.,5,1,16,18,18,14,15,6
placerat.Cras@morbitristiquesenectus.ca,6,10,10,4,7,8,7,7
purus@semperduilectus.ca,17,18,13,9,17,12,5,9
quis.pede.Suspendisse@Etiamvestibulum.com,19,20,15,16,14,14,17,18
sapien.cursus@posuerevulputate.net,2,2,13,2,12,16,3,16
scelerisque@lectusa.co.uk,3,15,4,2,10,17,11,17
Sed.auctor.odio@ipsumdolor.ca,2,2,4,11,16,8,10,11
semper.Nam.tempor@egetmassaSuspendisse.edu,13,12,1,9,18,2,3,7
semper@tincidunttempusrisus.ca,9,18,6,4,15,10,8,9
tempus.lorem.fringilla@velitPellentesqueultri,9,8,18,13,10,12,15,5
tristique.aliquet@suscipitnonummyFusce.edu,16,20,15,8,7,2,9,20
velit@amet.co.uk,13,13,14,10,19,5,17,13
velit@Integer.org,12,9,18,7,19,10,7,17
vestibulum@idliberoDonec.com,8,18,10,14,8,3,3,2
vitae@ametornare.net,11,6,5,2,7,2,10,7
vitae@odioAliquamvulputate.net,7,17,1,8,14,11,2,4
vitae@urna.org,18,1,16,7,16,13,9,7
